"날짜","종가","시가","고가","저가","거래량","변동 %","RSI(14)","MACD(12,26)","MACD_SIGNAL(9)","MACD_HIST"
"2026- 06- 24","337,500","314,000","341,000","314,500","35.88M","8.87%","55.4316","16528.3958","19289.2285","-2760.8327"
"2026- 06- 23","310,000","347,500","353,000","310,000","40.14M","-12.31%","48.8890","17459.6732","19979.4367","-2519.7635"
"2026- 06- 22","353,500","343,000","363,000","342,000","24.14M","-0.14%","62.3283","21194.3629","20609.3776","584.9853"
"2026- 06- 19","354,000","372,500","374,500","346,250","42.71M","-2.34%","62.5117","21223.8125","20463.1313","760.6812"
"2026- 06- 18","362,500","345,000","363,000","344,500","32.23M","4.62%","65.5570","20901.7818","20272.9610","628.8208"
"2026- 06- 17","346,500","332,000","348,000","331,500","17.96M","1.02%","62.3513","19321.2730","20115.7558","-794.4828"
"2026- 06- 16","343,000","343,000","345,500","332,500","16.69M","1.78%","61.6258","18652.0233","20314.3765","-1662.3532"
"2026- 06- 15","337,000","342,500","344,500","334,000","20.18M","4.50%","60.4114","17882.8788","20729.9648","-2847.0860"
"2026- 06- 12","322,500","326,000","339,000","320,000","30.72M","7.86%","57.3852","17251.9652","21441.7363","-4189.7711"
"2026- 06- 11","299,000","290,500","306,500","287,500","30.07M","-1.16%","51.8455","17672.1160","22489.1790","-4817.0631"
"2026- 06- 10","302,500","311,000","314,500","295,250","26.15M","-6.06%","52.7947","20344.0595","23693.4448","-3349.3854"
"2026- 06- 09","322,000","310,000","324,000","300,000","28.99M","8.97%","58.3180","23102.1538","24530.7912","-1428.6374"
"2026- 06- 08","295,500","293,000","315,500","292,500","38.47M","-10.18%","51.9782","24300.9992","24887.9505","-586.9513"
"2026- 06- 05","329,000","333,500","343,000","325,000","31.30M","-6.40%","63.2756","28175.8746","25034.6883","3141.1862"
"2026- 06- 04","351,500","349,000","366,000","348,000","34.29M","-2.50%","73.1977","29300.8846","24249.3918","5051.4929"
"2026- 06- 02","360,500","360,500","370,000","342,000","43.10M","3.30%","77.7247","28019.7028","22986.5186","5033.1842"
"2026- 06- 01","349,000","319,500","354,500","319,500","39.37M","10.09%","75.9607","25060.5260","21728.2225","3332.3034"
"2026- 05- 29","317,000","309,500","319,000","305,500","32.80M","5.84%","69.7764","22089.9326","20895.1466","1194.7859"
"2026- 05- 28","299,500","305,000","306,500","287,500","30.04M","-2.44%","65.2347","21235.2489","20596.4502","638.7988"
"2026- 05- 27","307,000","321,500","323,000","306,000","33.45M","2.68%","69.3839","21617.3036","20436.7505","1180.5531"
"2026- 05- 26","299,000","298,000","302,000","297,500","21.77M","2.22%","67.3255","21026.8745","20141.6122","885.2623"
"2026- 05- 22","292,500","300,000","300,500","292,000","18.19M","-2.34%","65.5794","20781.9722","19920.2966","861.6756"
"2026- 05- 21","299,500","291,000","299,500","287,000","36.13M","8.51%","69.2816","20828.9227","19704.8777","1124.0450"
"2026- 05- 20","276,000","278,000","282,500","263,500","34.11M","0.18%","62.7211","19873.1553","19423.8665","449.2889"
"2026- 05- 19","275,500","274,000","281,500","266,000","30.19M","-1.96%","62.5631","20756.9117","19311.5443","1445.3675"
"2026- 05- 18","281,000","269,500","288,500","262,000","33.50M","3.88%","65.3935","21633.8967","18950.2024","2683.6943"
"2026- 05- 15","270,500","291,000","296,500","266,000","37.93M","-8.61%","62.3761","21878.5735","18279.2788","3599.2946"
"2026- 05- 14","296,000","282,000","299,500","282,000","39.30M","4.23%","77.6424","22941.7272","17379.4552","5562.2720"
"2026- 05- 13","284,000","264,000","285,500","262,000","35.44M","1.79%","74.9649","21368.6364","15988.8872","5379.7492"
"2026- 05- 12","279,000","290,000","291,500","266,000","40.94M","-2.28%","73.7486","20271.8022","14643.9499","5627.8523"
"2026- 05- 11","285,500","284,500","288,500","280,000","34.32M","6.33%","78.3434","19086.0712","13236.9868","5849.0844"
"2026- 05- 08","268,500","260,000","270,000","260,000","25.70M","-1.10%","74.4824","16633.2136","11774.7157","4858.4979"
"2026- 05- 07","271,500","272,000","277,000","260,000","40.55M","2.07%","76.7238","14991.4467","10560.0912","4431.3555"
"2026- 05- 06","266,000","254,000","270,000","251,000","50.11M","14.41%","75.4670","12372.4432","9452.2523","2920.1909"
"2026- 05- 04","232,500","228,000","232,500","224,000","31.91M","5.44%","64.6804","9409.6796","8722.2046","687.4750"
"2026- 04- 30","220,500","229,000","230,000","220,500","20.52M","-2.43%","58.6302","8902.1569","8550.3358","351.8211"
"2026- 04- 29","226,000","219,500","228,000","218,500","20.21M","1.80%","63.2407","9346.7056","8462.3806","884.3250"
"2026- 04- 28","222,000","224,000","226,000","221,500","18.37M","-1.11%","61.1791","9218.1593","8241.2993","976.8600"
"2026- 04- 27","224,500","220,000","226,000","218,500","22.53M","2.28%","63.2374","9327.2780","7997.0843","1330.1937"
"2026- 04- 24","219,500","224,000","225,000","216,500","19.17M","-2.23%","60.7874","9076.3381","7664.5359","1411.8022"
"2026- 04- 23","224,500","223,000","229,500","216,000","33.87M","3.22%","64.7973","9133.1189","7311.5853","1821.5336"
"2026- 04- 22","217,500","218,500","222,500","215,500","16.73M","-0.68%","61.4953","8563.6557","6856.2019","1707.4538"
