날짜,종가,시가,고가,저가,거래량,변동 %,RSI(14),"MACD(12,26)",MACD_SIGNAL(9),MACD_HIST,외국인소진율
2018-06-01,51300,50500,51700,49950,13038499.0,,,0.0,0.0,0.0,53.05
2018-06-04,51100,50800,51200,50700,9767171.0,-0.389864,,-15.954416,-3.190883,-12.763533,53.07
2018-06-05,51300,51100,51400,50400,9144100.0,0.391389,,-12.318082,-5.016323,-7.301759,53.09
2018-06-07,50600,51800,51800,50500,13590016.0,-1.364522,,-65.169181,-17.046895,-48.122286,53.07
2018-06-08,49650,50200,50400,49600,16951706.0,-1.87747,,-181.617544,-49.961024,-131.65652,53.04
2018-06-11,49900,49750,50300,49350,10571312.0,0.503525,,-250.839281,-90.136676,-160.702606,53.01
2018-06-12,49400,49700,49800,49250,12110569.0,-1.002004,,-342.100309,-140.529402,-201.570906,52.99
2018-06-14,48200,49000,49000,48200,20971729.0,-2.42915,,-505.42903,-213.509328,-291.919702,52.89
2018-06-15,47650,48500,48700,47650,17080892.0,-1.141079,,-671.507897,-305.109042,-366.398855,52.8
2018-06-18,46600,47600,47650,46200,16661870.0,-2.203568,,-877.73484,-419.634202,-458.100638,52.75
2018-06-19,47000,47200,47350,46500,15217971.0,0.858369,,-997.397147,-535.186791,-462.210357,52.73
2018-06-20,47000,47450,47600,46850,12959316.0,0.0,,-1079.783318,-644.106096,-435.677222,52.7
2018-06-21,47050,47900,47900,47050,10015541.0,0.106383,,-1128.03706,-740.892289,-387.144772,52.7
2018-06-22,47250,47000,47250,46200,10298006.0,0.42508,,-1137.03316,-820.120463,-316.912697,52.69
2018-06-25,46650,47050,47050,46150,10587711.0,-1.269841,16.058394,-1178.986991,-891.893769,-287.093223,52.66
2018-06-26,47000,45900,47300,45900,11223166.0,0.750268,20.436402,-1170.500825,-947.61518,-222.885645,52.65
2018-06-27,47950,47450,48500,47000,15274752.0,2.021277,30.9616,-1074.729603,-973.038065,-101.691538,52.69
2018-06-28,46800,46850,47150,46600,12784800.0,-2.398332,26.407505,-1079.18543,-994.267538,-84.917892,52.62
2018-06-29,46650,46250,47150,46200,14099635.0,-0.320513,25.872937,-1082.343866,-1011.882803,-70.461062,52.62
2018-07-02,45550,46500,47150,45500,13112253.0,-2.357985,22.306796,-1160.233308,-1041.552904,-118.680404,52.58
2018-07-03,46150,45750,46450,45750,10959655.0,1.317234,28.126053,-1160.17252,-1065.276827,-94.895693,52.6
2018-07-04,46250,46700,47050,46050,8776763.0,0.216685,29.079485,-1138.926347,-1080.006731,-58.919616,52.61
2018-07-05,45950,46100,46550,45600,7039773.0,-0.648649,27.884435,-1133.232891,-1090.651963,-42.580928,52.58
2018-07-06,44900,45500,45850,44650,17843706.0,-2.285092,24.144453,-1199.618555,-1112.445282,-87.173274,52.5
2018-07-09,45600,45500,46100,45200,11602464.0,1.55902,30.807321,-1182.118793,-1126.379984,-55.738809,52.48
2018-07-10,46300,46200,46550,46100,10528665.0,1.535088,36.786838,-1099.096258,-1120.923239,21.826981,52.5
2018-07-11,46000,46400,46450,45400,11224077.0,-0.647948,35.375858,-1045.456422,-1105.829875,60.373453,52.5
2018-07-12,45500,45900,46250,45450,11828104.0,-1.086957,33.097328,-1031.402917,-1090.944484,59.541567,52.49
2018-07-13,46500,45800,46500,45750,11543389.0,2.197802,41.247862,-928.866377,-1058.528862,129.662486,52.49
2018-07-16,46050,46800,46800,46000,7678719.0,-0.967742,38.948384,-873.843544,-1021.591799,147.748254,52.48
2018-07-17,45850,46150,46200,45600,8892953.0,-0.434311,37.936145,-836.730573,-984.619554,147.888981,52.46
2018-07-18,46550,46700,47200,46450,10952645.0,1.526718,43.473456,-742.277611,-936.151165,193.873554,52.48
