원본_행번호,날짜,종가,시가,고가,저가,거래량,외국인소진율,제외_사유
2,20160601,26660,25960,26820,25900,470080,50.41,before_2018_06_01
3,20160602,27300,27000,27440,26920,476139,50.47,before_2018_06_01
4,20160603,27540,27400,27580,27280,341324,50.46,before_2018_06_01
5,20160607,27960,27720,28040,27600,462843,50.48,before_2018_06_01
6,20160608,28120,28380,28380,27780,376162,50.52,before_2018_06_01
7,20160609,28600,28160,28600,28120,515375,50.61,before_2018_06_01
8,20160610,28120,28480,28500,28080,289681,50.59,before_2018_06_01
9,20160613,27420,27920,27920,27240,304966,50.6,before_2018_06_01
10,20160614,27600,27420,27720,27380,245461,50.66,before_2018_06_01
11,20160615,28260,27699,28320,27660,306689,50.67,before_2018_06_01
12,20160616,28180,28259,28340,27900,292431,50.69,before_2018_06_01
13,20160617,28520,28200,28700,28200,328394,50.68,before_2018_06_01
14,20160620,28620,28540,28960,28519,270316,50.65,before_2018_06_01
15,20160621,28960,28640,28980,28520,200411,50.63,before_2018_06_01
16,20160622,28900,28920,29000,28620,178965,50.59,before_2018_06_01
17,20160623,28600,28880,28900,28540,225126,50.54,before_2018_06_01
18,20160624,28000,28900,28900,27200,411052,50.48,before_2018_06_01
19,20160627,27960,28000,28099,27700,236780,50.42,before_2018_06_01
20,20160628,27980,27800,28080,27579,214379,50.37,before_2018_06_01
21,20160629,27920,28160,28240,27820,210541,50.35,before_2018_06_01
22,20160630,28500,28160,28900,27940,272943,50.35,before_2018_06_01
23,20160701,29320,28540,29579,28540,287872,50.4,before_2018_06_01
24,20160704,29320,29279,29479,29020,159900,50.38,before_2018_06_01
25,20160705,29380,29319,29500,29240,157407,50.39,before_2018_06_01
26,20160706,28420,28940,29040,28240,334983,50.34,before_2018_06_01
27,20160707,29000,28420,29000,28320,229904,50.39,before_2018_06_01
28,20160708,29200,29000,29500,28980,269963,50.43,before_2018_06_01
29,20160711,29780,29199,30000,29199,281136,50.44,before_2018_06_01
30,20160712,29280,29980,30099,29200,220494,50.44,before_2018_06_01
31,20160713,29620,29920,29920,29259,200198,50.49,before_2018_06_01
32,20160714,30000,29620,30000,29520,248605,50.56,before_2018_06_01
33,20160715,30360,30000,30439,29720,232463,50.61,before_2018_06_01
34,20160718,30660,30360,30660,30000,231344,50.65,before_2018_06_01
35,20160719,30660,30560,30799,30440,202445,50.72,before_2018_06_01
36,20160720,30800,30659,30840,30480,155463,50.75,before_2018_06_01
37,20160721,30860,30800,30940,30740,170894,50.74,before_2018_06_01
38,20160722,30320,30120,30560,30120,171703,50.71,before_2018_06_01
39,20160725,30040,30000,30460,29900,154650,50.7,before_2018_06_01
40,20160726,30600,30000,30619,29960,144570,50.7,before_2018_06_01
41,20160727,30540,30240,30580,30240,126701,50.72,before_2018_06_01
42,20160728,30140,30660,30720,29960,190074,51.2,before_2018_06_01
43,20160729,30780,30400,31140,30220,299712,51.23,before_2018_06_01
44,20160801,31360,31380,31600,31200,230308,51.25,before_2018_06_01
45,20160802,30960,31360,31360,30920,166316,51.23,before_2018_06_01
46,20160803,30340,30960,30960,30340,150098,51.22,before_2018_06_01
47,20160804,30340,30380,30660,30340,140199,51.22,before_2018_06_01
48,20160805,31220,30580,31280,30500,139177,51.22,before_2018_06_01
49,20160808,31380,31320,31500,31120,222503,51.21,before_2018_06_01
50,20160809,31340,31480,31580,31140,180464,51.19,before_2018_06_01
51,20160810,30820,31340,31400,30680,246807,51.16,before_2018_06_01
52,20160811,31180,30820,31180,30520,210672,51.12,before_2018_06_01
53,20160812,30900,31180,31400,30880,209497,51.09,before_2018_06_01
54,20160816,31360,30900,31520,30900,216862,51.07,before_2018_06_01
55,20160817,31320,31380,31399,31020,148929,51.04,before_2018_06_01
56,20160818,32800,31340,32880,31320,366541,51.08,before_2018_06_01
57,20160819,33500,32760,33500,32720,336103,51.07,before_2018_06_01
58,20160822,33300,33480,33840,33180,252244,51.01,before_2018_06_01
59,20160823,33740,33300,33880,33140,230914,50.99,before_2018_06_01
60,20160824,33060,33600,33640,32720,318771,50.93,before_2018_06_01
61,20160825,32780,32600,33180,32440,283476,50.85,before_2018_06_01
62,20160826,32240,32120,32460,32060,241160,50.8,before_2018_06_01
63,20160829,32800,32040,32800,31940,178515,50.8,before_2018_06_01
64,20160830,32900,32940,33420,32660,156992,50.79,before_2018_06_01
65,20160831,32400,32820,32820,32220,410644,50.75,before_2018_06_01
66,20160901,31740,31660,31760,31260,375803,50.7,before_2018_06_01
67,20160902,31940,31900,32260,31760,163060,50.72,before_2018_06_01
68,20160905,32120,31800,32300,31700,167676,50.74,before_2018_06_01
69,20160906,32860,32140,32900,31940,153203,50.76,before_2018_06_01
70,20160907,32420,32960,33040,32420,191837,50.75,before_2018_06_01
71,20160908,32780,32460,32780,32280,241417,50.76,before_2018_06_01
72,20160909,31500,32220,32360,31280,265168,50.73,before_2018_06_01
73,20160912,29300,29800,30119,29119,529987,50.71,before_2018_06_01
74,20160913,30540,30159,30980,29900,494345,50.79,before_2018_06_01
75,20160919,31160,30760,31380,30720,448163,50.8,before_2018_06_01
76,20160920,31700,31180,31759,31180,258423,50.83,before_2018_06_01
77,20160921,31840,31900,32019,31520,210181,50.82,before_2018_06_01
78,20160922,32360,32000,32820,31980,228599,50.81,before_2018_06_01
79,20160923,31420,31640,31960,31320,365993,50.76,before_2018_06_01
80,20160926,31360,31420,31920,31280,290496,50.74,before_2018_06_01
81,20160927,31380,31000,31500,30660,196688,50.72,before_2018_06_01
82,20160928,31340,31080,31460,31080,174128,50.72,before_2018_06_01
83,20160929,32000,31459,32380,31440,227951,50.72,before_2018_06_01
84,20160930,31960,31800,32300,31700,235254,50.71,before_2018_06_01
85,20161004,32280,32200,32480,32120,261062,50.71,before_2018_06_01
86,20161005,32380,32020,32520,31940,249409,50.74,before_2018_06_01
87,20161006,33820,33920,34000,33340,591163,50.71,before_2018_06_01
88,20161007,34120,34000,34320,33800,521011,51.1,before_2018_06_01
89,20161010,33600,33000,33780,32560,505866,51.08,before_2018_06_01
90,20161011,30900,31999,32500,30900,768543,50.93,before_2018_06_01
91,20161012,30700,29900,30900,29880,781771,50.73,before_2018_06_01
92,20161013,31140,31000,31620,30900,437291,50.78,before_2018_06_01
93,20161014,31540,30960,31760,30940,283179,50.8,before_2018_06_01
94,20161017,31800,31299,32040,30760,255704,50.83,before_2018_06_01
95,20161018,31780,31439,31900,31439,207690,50.83,before_2018_06_01
96,20161019,32500,31580,32860,31500,308891,50.89,before_2018_06_01
97,20161020,32400,32520,33020,32179,206609,50.9,before_2018_06_01
98,20161021,31780,32120,32260,31760,209550,50.88,before_2018_06_01
99,20161024,32160,31860,32159,31800,185799,50.88,before_2018_06_01;invalid_ohlc
100,20161025,31940,31999,32080,31840,197322,50.88,before_2018_06_01
101,20161026,31340,31939,31980,31240,210680,50.86,before_2018_06_01
102,20161027,31460,31420,32340,31120,282340,50.84,before_2018_06_01
103,20161028,32280,31600,32280,31600,204284,50.88,before_2018_06_01
104,20161031,32780,32320,32780,32220,241344,50.89,before_2018_06_01
105,20161101,33040,32600,33040,32240,206948,50.91,before_2018_06_01
106,20161102,32860,32800,33040,32620,201985,50.9,before_2018_06_01
107,20161103,32320,32600,32800,32120,206837,50.86,before_2018_06_01
108,20161104,32540,32100,32680,32100,142077,50.85,before_2018_06_01
109,20161107,32800,32940,33000,32680,153238,50.85,before_2018_06_01
110,20161108,32880,32980,32980,32700,108349,50.86,before_2018_06_01
111,20161109,31920,32920,33140,31820,313672,50.81,before_2018_06_01
112,20161110,32980,32600,33000,32360,235907,50.81,before_2018_06_01
113,20161111,31960,31700,32360,31700,256736,50.73,before_2018_06_01
114,20161114,31060,31899,31919,31040,302666,50.64,before_2018_06_01
115,20161115,30780,31060,31620,30780,273314,50.6,before_2018_06_01
116,20161116,31160,30800,31280,30800,266164,50.6,before_2018_06_01
117,20161117,31360,31100,31520,30900,157411,50.62,before_2018_06_01
118,20161118,31720,31639,31760,31400,189215,50.64,before_2018_06_01
119,20161121,31860,31300,32119,31300,163604,50.65,before_2018_06_01
120,20161122,32800,32140,32900,32000,195022,50.68,before_2018_06_01
121,20161123,32980,33220,33220,32520,253372,50.71,before_2018_06_01
122,20161124,33000,32980,33040,32660,155143,50.69,before_2018_06_01
123,20161125,33000,32820,33040,32660,125538,50.69,before_2018_06_01
124,20161128,33540,33000,33620,32800,265881,50.72,before_2018_06_01
125,20161129,33540,33800,33960,33380,361626,50.81,before_2018_06_01
126,20161130,34920,33540,34940,33540,570704,50.89,before_2018_06_01
127,20161201,34980,34800,35060,34660,310707,50.91,before_2018_06_01
128,20161202,34540,34480,34760,34140,307059,50.89,before_2018_06_01
129,20161205,34360,34340,34680,34220,169692,50.89,before_2018_06_01
130,20161206,34960,34440,35200,34400,280036,50.85,before_2018_06_01
131,20161207,35440,35040,35480,35040,192073,50.88,before_2018_06_01
132,20161208,35800,35980,36020,35520,329251,50.82,before_2018_06_01
133,20161209,35600,35900,35900,35400,213049,50.81,before_2018_06_01
134,20161212,35040,34660,35360,34660,228289,50.81,before_2018_06_01
135,20161213,35320,34620,35440,34620,233689,50.81,before_2018_06_01
136,20161214,35540,35560,35680,35280,149102,50.83,before_2018_06_01
137,20161215,35180,34820,35500,34820,115471,50.79,before_2018_06_01
138,20161216,35860,35300,36020,35200,234954,50.76,before_2018_06_01
139,20161219,35900,35620,36380,35620,108716,50.75,before_2018_06_01
140,20161220,36240,35920,36400,35840,152304,50.75,before_2018_06_01
141,20161221,36100,36360,36600,36020,131042,50.75,before_2018_06_01
142,20161222,36180,36260,36300,35980,127092,50.74,before_2018_06_01
143,20161223,35640,36020,36080,35600,166697,50.71,before_2018_06_01
144,20161226,35960,35600,36000,35560,96472,50.73,before_2018_06_01
145,20161227,35980,35980,36200,35860,93069,50.72,before_2018_06_01
146,20161228,35760,35840,35980,35600,133258,50.76,before_2018_06_01
147,20161229,36040,35420,36040,35400,150329,50.76,before_2018_06_01
148,20170102,36100,35980,36240,35880,93012,50.77,before_2018_06_01
149,20170103,36480,36280,36620,36020,147153,50.79,before_2018_06_01
150,20170104,36160,36500,36520,36100,159435,50.82,before_2018_06_01
151,20170105,35560,36060,36060,35540,219349,50.78,before_2018_06_01
152,20170106,36200,36180,36440,36040,177619,50.81,before_2018_06_01
153,20170109,37220,36600,37500,36560,263898,50.87,before_2018_06_01
154,20170110,37240,37280,37400,37080,181996,50.87,before_2018_06_01
155,20170111,38280,37520,38560,37420,240363,50.89,before_2018_06_01
156,20170112,38800,38000,38800,37980,233383,50.87,before_2018_06_01
157,20170113,37460,38100,38319,37460,319089,50.8,before_2018_06_01
158,20170116,36660,36860,37820,36320,332230,50.73,before_2018_06_01
159,20170117,36960,36580,37460,36580,163014,50.72,before_2018_06_01
160,20170118,36940,37040,37500,36620,177508,50.72,before_2018_06_01
161,20170119,37480,37720,37920,37020,188378,50.73,before_2018_06_01
162,20170120,37200,37120,37420,36880,183700,50.71,before_2018_06_01
163,20170123,38060,37200,38060,37000,176208,50.69,before_2018_06_01
164,20170124,38160,38120,38580,37880,220975,50.69,before_2018_06_01
165,20170125,39400,38340,39400,38320,268677,50.69,before_2018_06_01
166,20170126,39900,39420,40000,39420,304290,50.71,before_2018_06_01
167,20170131,39460,39900,39900,39460,359844,50.69,before_2018_06_01
168,20170201,39120,39540,39660,39039,283008,50.67,before_2018_06_01
169,20170202,39360,39600,39660,39200,300586,50.72,before_2018_06_01
170,20170203,39460,39400,39500,39180,207727,50.7,before_2018_06_01
171,20170206,39560,39580,39660,39140,177214,50.69,before_2018_06_01
172,20170207,38820,39560,39580,38760,280836,50.65,before_2018_06_01
173,20170208,38400,38740,38779,38200,341859,50.61,before_2018_06_01
174,20170209,38400,38779,38840,38219,273883,50.62,before_2018_06_01
175,20170210,38360,38400,38760,38300,220415,50.59,before_2018_06_01
176,20170213,37960,37740,38060,37720,222041,50.57,before_2018_06_01
177,20170214,37580,37960,38260,37320,262483,50.53,before_2018_06_01
178,20170215,37720,37080,37960,37080,283831,50.52,before_2018_06_01
179,20170216,38020,37800,38360,37780,204527,50.54,before_2018_06_01
180,20170217,37860,37560,38040,37280,307549,50.53,before_2018_06_01
181,20170220,38660,38220,38780,38160,149716,50.55,before_2018_06_01
182,20170221,38940,38540,39560,38420,211252,50.54,before_2018_06_01
183,20170222,39300,39000,39340,38980,170789,50.55,before_2018_06_01
184,20170223,39180,39020,39440,39020,204346,50.54,before_2018_06_01
185,20170224,38220,38960,39100,38060,185937,50.51,before_2018_06_01
186,20170227,38060,38020,38140,37700,180674,50.48,before_2018_06_01
187,20170228,38440,38059,38760,37960,301774,50.47,before_2018_06_01
188,20170302,39720,38420,39860,38420,424996,50.59,before_2018_06_01
189,20170303,39620,39340,39720,39160,254174,50.59,before_2018_06_01
190,20170306,40080,39220,40220,39220,244697,50.64,before_2018_06_01
191,20170307,40200,39800,40320,39800,211065,50.63,before_2018_06_01
192,20170308,40200,40200,40620,40140,242819,50.66,before_2018_06_01
193,20170309,40200,40200,40300,40020,287445,50.69,before_2018_06_01
194,20170310,40180,39960,40420,39860,204556,50.7,before_2018_06_01
195,20170313,40600,40039,40980,40039,148482,50.7,before_2018_06_01
196,20170314,41360,40620,41540,40500,226501,50.72,before_2018_06_01
197,20170315,41400,40800,41440,40800,191757,50.69,before_2018_06_01
198,20170316,41840,41800,42180,41540,198663,50.67,before_2018_06_01
199,20170317,42400,41800,42500,41720,252046,50.65,before_2018_06_01
200,20170320,41900,42000,42120,41740,205001,50.64,before_2018_06_01
201,20170321,42560,41780,42680,41760,284403,50.63,before_2018_06_01
202,20170322,42460,41600,42460,41580,328545,50.58,before_2018_06_01
203,20170323,41800,42200,42360,41700,307942,50.56,before_2018_06_01
204,20170324,41500,41600,41980,41080,256163,50.52,before_2018_06_01
205,20170327,41200,41200,41880,41180,243553,50.53,before_2018_06_01
206,20170328,41480,41560,41840,41380,164325,50.46,before_2018_06_01
207,20170329,41780,41740,41960,41580,201865,50.44,before_2018_06_01
208,20170330,41980,41880,42440,41880,164080,50.38,before_2018_06_01
209,20170331,41200,41820,42020,41200,210006,50.33,before_2018_06_01
210,20170403,41440,41400,41720,41300,191588,50.3,before_2018_06_01
211,20170404,42080,41600,42180,41520,245110,50.33,before_2018_06_01
212,20170405,42140,41900,42240,41700,213994,50.33,before_2018_06_01
213,20170406,41840,42000,42080,41600,193668,50.32,before_2018_06_01
214,20170407,41600,41800,41820,41160,200420,50.31,before_2018_06_01
215,20170410,41940,41940,41940,41500,142827,50.3,before_2018_06_01
216,20170411,41600,41940,41940,41580,143458,50.29,before_2018_06_01
217,20170412,41900,41860,41940,41700,165498,50.31,before_2018_06_01
218,20170413,42420,41660,42460,41660,180816,50.3,before_2018_06_01
219,20170414,42020,42160,42260,41760,109257,50.29,before_2018_06_01
220,20170417,41560,42000,42080,41520,104495,50.26,before_2018_06_01
221,20170418,41500,41680,41820,41280,137213,50.26,before_2018_06_01
222,20170419,40900,41299,41420,40900,235258,50.24,before_2018_06_01
223,20170420,40280,40580,40800,40080,422977,50.53,before_2018_06_01
224,20170421,40760,40480,41400,40480,302610,50.53,before_2018_06_01
225,20170424,41240,41260,41260,40920,179803,50.54,before_2018_06_01
226,20170425,42700,41460,42740,41320,385992,50.64,before_2018_06_01
227,20170426,42800,42700,42800,42520,295896,50.62,before_2018_06_01
228,20170427,43840,42700,44520,41960,460645,50.65,before_2018_06_01
229,20170428,44620,45780,45800,44520,453714,50.67,before_2018_06_01
230,20170502,44900,45500,45500,44760,281366,50.66,before_2018_06_01
231,20170504,45520,45700,45700,44860,273802,50.68,before_2018_06_01
232,20170508,47020,45520,47020,45340,391651,50.7,before_2018_06_01
233,20170510,45600,46160,47220,45600,468219,50.62,before_2018_06_01
234,20170511,45500,45420,46180,45220,425557,50.55,before_2018_06_01
235,20170512,45820,45760,46160,45660,188458,50.55,before_2018_06_01
236,20170515,46100,45620,46280,45620,160028,50.55,before_2018_06_01
237,20170516,46380,46660,46800,46100,176075,50.54,before_2018_06_01
238,20170517,46340,46120,46640,46100,148489,50.54,before_2018_06_01
239,20170518,45940,45740,46000,45540,223207,50.55,before_2018_06_01
240,20170519,44720,45640,45780,44720,315247,50.49,before_2018_06_01
241,20170522,45100,45040,45380,44760,352871,54.01,before_2018_06_01
242,20170523,44920,45400,45580,44900,252141,53.98,before_2018_06_01
243,20170524,44880,44860,45300,44800,173508,53.97,before_2018_06_01
244,20170525,45680,45160,45680,44800,260896,53.99,before_2018_06_01
245,20170526,46080,45600,46460,45540,272273,53.99,before_2018_06_01
246,20170529,45620,46220,46400,45380,174791,53.98,before_2018_06_01
247,20170530,44640,45520,45660,44480,248672,53.97,before_2018_06_01
248,20170531,44700,44580,45020,44400,373382,53.91,before_2018_06_01
249,20170601,44680,44860,44900,44400,195070,53.9,before_2018_06_01
250,20170602,45960,45060,45960,45000,249775,53.98,before_2018_06_01
251,20170605,45940,46040,46360,45720,151988,54.01,before_2018_06_01
252,20170607,45300,46500,46500,45240,274588,54.0,before_2018_06_01
253,20170608,45160,45000,45580,45000,279575,53.99,before_2018_06_01
254,20170609,46100,45680,46440,45600,234657,54.02,before_2018_06_01
255,20170612,45380,45420,45600,45140,219086,54.01,before_2018_06_01
256,20170613,45400,45140,45620,45140,172498,53.97,before_2018_06_01
257,20170614,45360,45800,46060,45240,203334,53.97,before_2018_06_01
258,20170615,45680,45680,45920,45180,193140,54.01,before_2018_06_01
259,20170616,45580,45500,45940,45460,348069,53.97,before_2018_06_01
260,20170619,46560,45580,46560,45560,226078,54.01,before_2018_06_01
261,20170620,48140,47240,48140,47220,300900,54.11,before_2018_06_01
262,20170621,47480,47740,48120,47480,199473,54.1,before_2018_06_01
263,20170622,47960,47960,48080,47720,229116,54.09,before_2018_06_01
264,20170623,47620,47600,47780,47420,190302,54.04,before_2018_06_01
265,20170626,48280,47520,48360,47520,171056,54.04,before_2018_06_01
266,20170627,48300,48220,48400,47900,192335,54.01,before_2018_06_01
267,20170628,47700,47600,48000,47560,191450,53.98,before_2018_06_01
268,20170629,47940,48040,48320,47940,166131,53.95,before_2018_06_01
269,20170630,47540,47500,47620,47100,237551,53.94,before_2018_06_01
270,20170703,47220,47500,47780,47120,136111,53.93,before_2018_06_01
271,20170704,47000,47160,47400,46900,159220,53.89,before_2018_06_01
272,20170705,47580,46820,47680,46780,212805,53.88,before_2018_06_01
273,20170706,48060,48000,48100,47720,218461,53.92,before_2018_06_01
274,20170707,47860,47740,48120,47620,162638,53.89,before_2018_06_01
275,20170710,48660,48500,48900,48320,215855,53.9,before_2018_06_01
276,20170711,49000,48640,49000,48280,194356,53.9,before_2018_06_01
277,20170712,49880,49000,50000,48840,189723,53.93,before_2018_06_01
278,20170713,50560,50080,50940,50040,320683,53.93,before_2018_06_01
279,20170714,50480,51000,51080,50420,164780,53.91,before_2018_06_01
280,20170717,50640,50900,51020,50520,179522,53.9,before_2018_06_01
281,20170718,50840,50420,50880,50360,141689,53.89,before_2018_06_01
282,20170719,50740,50620,50820,50000,223150,53.87,before_2018_06_01
283,20170720,51200,50760,51320,50560,167352,53.87,before_2018_06_01
284,20170721,51080,50860,51160,50520,168981,53.85,before_2018_06_01
285,20170724,50860,50700,51000,50620,141995,53.82,before_2018_06_01
286,20170725,50000,50500,50760,49940,216212,53.78,before_2018_06_01
287,20170726,49840,49600,50020,49300,224496,53.74,before_2018_06_01
288,20170727,49800,50000,50640,49560,228990,53.69,before_2018_06_01
289,20170728,47760,49800,49800,47380,523366,53.59,before_2018_06_01
290,20170731,48200,47420,48240,46920,254028,53.55,before_2018_06_01
291,20170801,48600,48000,48840,47540,227390,53.92,before_2018_06_01
292,20170802,49000,49200,49340,48600,155549,53.93,before_2018_06_01
293,20170803,47780,49000,49000,47120,310816,53.92,before_2018_06_01
294,20170804,47700,48160,48180,47500,167184,53.91,before_2018_06_01
295,20170807,47580,47500,48080,47440,144365,53.92,before_2018_06_01
296,20170808,47720,47980,48260,47480,159592,53.91,before_2018_06_01
297,20170809,46280,47400,47400,46240,291108,53.84,before_2018_06_01
298,20170810,45900,46200,46320,45460,459723,53.76,before_2018_06_01
299,20170811,44620,45120,45300,44220,508146,53.64,before_2018_06_01
300,20170814,45000,45120,45400,44720,383712,53.54,before_2018_06_01
301,20170816,46200,46220,46380,46000,438273,53.5,before_2018_06_01
302,20170817,47040,46960,47300,46740,248317,53.52,before_2018_06_01
303,20170818,46900,46760,47240,46240,209559,53.51,before_2018_06_01
304,20170821,46840,47240,47240,46580,102069,53.46,before_2018_06_01
305,20170822,47000,46820,47160,46700,147635,53.44,before_2018_06_01
306,20170823,47480,47780,47780,47180,187694,53.47,before_2018_06_01
307,20170824,47520,47520,47660,47340,173149,53.45,before_2018_06_01
308,20170825,47020,47880,47880,46720,224871,53.43,before_2018_06_01
309,20170828,46100,47020,47240,45960,199242,53.41,before_2018_06_01
310,20170829,46080,45640,46080,45160,252473,53.39,before_2018_06_01
311,20170830,46200,46380,46400,45960,150260,53.38,before_2018_06_01
312,20170831,46320,46220,46640,46000,220234,53.37,before_2018_06_01
313,20170901,46480,46460,46640,46300,212834,53.38,before_2018_06_01
314,20170904,46040,45780,46360,45500,158870,53.37,before_2018_06_01
