target,param_ridge__alpha,mean_cv_negative_return_mae,std_cv_negative_return_mae,mean_train_negative_return_mae,rank_test_score
open,0.01,-0.009214322451934886,0.0029502150843958913,-0.00826135031268467,6
open,0.1,-0.009036525521406153,0.002635286786410462,-0.008268360290233473,5
open,1.0,-0.008615603496990764,0.0019152809800549325,-0.00827983323802386,4
open,10.0,-0.00828091016326336,0.001551812289843737,-0.008286452609824605,3
open,100.0,-0.008012012869510376,0.001431993178589566,-0.008314135585246995,2
open,1000.0,-0.00783608966101396,0.001444691583019759,-0.008366173096911674,1
close,0.01,-0.013283059605995708,0.002571903905132151,-0.012001841619677156,6
close,0.1,-0.013241744029185903,0.0025997797200869306,-0.012017603456284508,5
close,1.0,-0.013026410101197382,0.0024685019953919717,-0.012028799074695253,4
close,10.0,-0.012681094845368734,0.0022287768814926016,-0.012045769717487534,3
close,100.0,-0.01228674150064384,0.001871903426320718,-0.01212075321189585,2
close,1000.0,-0.012108572270132827,0.0017200068337060092,-0.01221320788881636,1
